filename,title,year,kp_rating,imdb_rating,notes,age_rating_imdb,age_rating_kp,english_title
Scenyi-iz-supruzheskoy-zhizni.txt,Фильмы по алфавиту,2025,6.4,5.0,ok,,18+,
Titanik.txt,Фильмы по алфавиту,2025,6.4,5.0,ok,,18+,
Tihiy-Don.txt,Фильмы по алфавиту,2025,6.4,5.0,ok,,18+,
Trener-Karter.txt,Фильмы по алфавиту,2025,6.4,5.0,ok,,18+,
Umnica-Uill-Hanting.txt,Фильмы по алфавиту,2025,6.4,5.0,ok,,18+,
Unesyonnyie-vetrom.txt,Фильмы по алфавиту,2025,6.4,5.0,ok,,18+,
Forrest-Gamp.txt,Фильмы по алфавиту,2025,6.4,5.0,ok,,18+,
Forrest-Gamp_1.txt,Фильмы по алфавиту,2025,6.4,5.0,ok,,18+,
Hanna-Montana--Kino.txt,Фильмы по алфавиту,2025,6.4,5.0,ok,,18+,
Huliganyi-Zelyonoy-ulicyi.txt,Фильмы по алфавиту,2025,6.4,5.0,ok,,18+,
Chyornaya-roza---yemblema-pechali--krasnaya-roza---yemblema-lyubvi.txt,Фильмы по алфавиту,2025,6.4,5.0,ok,,18+,
Chto-myi-znaem----Vniz-po-Krolichjey-Nore.txt,Фильмы по алфавиту,2025,6.4,5.0,ok,,18+,
Schit-i-mech.txt,Фильмы по алфавиту,2025,6.4,5.0,ok,,18+,
Yarmarka-tscheslaviya_1.txt,Фильмы по алфавиту,2025,6.4,5.0,ok,,18+,
13-druzey-Oushena.txt,Фильмы по алфавиту,2025,6.4,5.0,ok,,18+,
Boycovskiy-klub.txt,Фильмы по алфавиту,2025,6.4,5.0,ok,,18+,
Hraniteli.txt,Фильмы по алфавиту,2025,6.4,5.0,ok,,18+,
Yekzorcizm-Yemili-Rouz.txt,Фильмы по алфавиту,2025,6.4,5.0,ok,,18+,
Dyuna.txt,Фильмы по алфавиту,2025,6.4,5.0,ok,,18+,
Ivan-Vasiljevich-menyaet-professiyu.txt,Фильмы по алфавиту,2025,6.4,5.0,ok,,18+,
Kokon.txt,Фильмы по алфавиту,2025,6.4,5.0,ok,,18+,
